PERMNO,TICKER,COMNAM,PERMCO,gvkey
61621,PAYX,PAYCHEX INC,6333,8402
61735,AON,AON PLC,20203,3221
61815,NBL,NOBLE ENERGY INC,3219,7912
62092,TMO,THERMO FISHER SCIENTIFIC INC,4557,10530
62148,CSX,C S X CORP,20370,2574
64186,CI,CIGNA CORP NEW,20357,2547
64282,LB,L BRANDS INC,2664,6733
64311,NSC,NORFOLK SOUTHERN CORP,21294,7923
64390,PGR,PROGRESSIVE CORP OH,3682,13341
64653,PSA,PUBLIC STORAGE,4289,10096
64899,STZ,CONSTELLATION BRANDS INC,1015,2710
64936,D,DOMINION ENERGY INC,20592,4029
64995,KEY,KEYCORP NEW,2535,9783
65402,AOS,SMITH A O CORP,21625,9771
65541,COO,COOPER COMPANIES INC,5780,3504
65875,VZ,VERIZON COMMUNICATIONS INC,20288,2136
66093,T,A T & T INC,21645,9899
66157,USB,U S BANCORP DEL,1645,4723
66181,HD,HOME DEPOT INC,5085,5680
66384,WDC,WESTERN DIGITAL CORP,4879,11399
66800,AIG,AMERICAN INTERNATIONAL GROUP INC,137,1487
67029,ITI,ITERIS INC,3333,8087
69032,MS,MORGAN STANLEY DEAN WITTER & CO,21224,12124
69550,MYL,MYLAN N V,3104,7637
69649,RJF,RAYMOND JAMES FINANCIAL INC,6137,8898
69796,STZ,CONSTELLATION BRANDS INC,1015,2710
70033,HOG,HARLEY DAVIDSON INC,20881,12389
70519,C,CITIGROUP INC,20483,3243
70578,ECL,ECOLAB INC,1467,4213
71175,UNM,UNUM GROUP,21798,12726
72726,STT,STATE STREET CORP,4260,10035
73139,SYK,STRYKER CORP,4298,10115
75100,TIF,TIFFANY & CO NEW,21753,13646
75107,ABMD,ABIOMED INC,20018,13619
75154,CCL,CARNIVAL CORP,20394,13498
75186,SCHW,SCHWAB CHARLES CORP NEW,21578,13988
75241,PXD,PIONEER NATURAL RESOURCES CO,21366,14359
75341,DRE,DUKE REALTY CORP,20609,13510
75510,ADBE,ADOBE INC,8476,12540
75591,IEX,IDEX CORP,22075,15267
75819,VTR,VENTAS INC,10302,110179
75825,EOG,EOG RESOURCES INC,22113,16478
75828,EA,ELECTRONIC ARTS INC,10303,16721
76076,CSCO,CISCO SYSTEMS INC,10486,20779
76082,COG,CABOT OIL & GAS CORP,26024,20548
76095,HOLX,HOLOGIC INC,10504,20904
76201,XLNX,XILINX INC,10634,22325
76605,AZO,AUTOZONE INC,29009,23809
76614,REGN,REGENERON PHARMACEUTICALS INC,10876,23812
76709,IDXX,I D E X X LABORATORIES INC,10989,24197
76712,AES,A E S CORP,10996,24216
76744,VRTX,VERTEX PHARMACEUTICALS INC,11042,24344
76795,ZBRA,ZEBRA TECHNOLOGIES CORP,11092,24405
76841,BIIB,BIOGEN INC,11112,24468
77037,ODFL,OLD DOMINION FREIGHT LINE INC,11161,24617
77129,KIM,KIMCO REALTY CORP,29335,24731
77178,QCOM,QUALCOMM INC,11253,24800
77182,PRGO,PERRIGO CO PLC,11257,24782
77274,GILD,GILEAD SCIENCES INC,11300,24856
77338,ROP,ROPER TECHNOLOGIES INC,11344,24925
77357,SNPS,SYNOPSYS INC,11361,24975
77462,M,MACYS INC,22856,4611
77496,MHK,MOHAWK INDUSTRIES INC,11446,25119
77605,BSX,BOSTON SCIENTIFIC CORP,29489,25279
77606,KSS,KOHLS CORP,29494,25283
77649,STE,STERIS PLC,11547,25313
77661,DHI,D R HORTON INC,11559,25340
77702,SBUX,STARBUCKS CORP,11592,25434
77730,TSN,TYSON FOODS INC,4620,10793
78916,AGN,ALLERGAN PLC,11965,27845
78975,INTU,INTUIT INC,12011,27928
78987,MCHP,MICROCHIP TECHNOLOGY INC,12027,27965
79057,CB,CHUBB LTD,29796,28034
79103,ORLY,O REILLY AUTOMOTIVE INC NEW,12097,28180
79145,RCL,ROYAL CARIBBEAN CRUISES LTD,29819,28191
79265,FLIR,FLIR SYSTEMS INC,12214,28477
79323,ALL,ALLSTATE CORP,29870,28349
79545,BWA,BORGWARNER INC,29936,28742
79547,EQR,EQUITY RESIDENTIAL,29940,28733
79637,UHS,UNIVERSAL HEALTH SERVICES INC,4655,11032
79678,ATVI,ACTIVISION BLIZZARD INC,12499,180405
79698,IT,GARTNER INC,12457,12441
79782,REG,REGENCY CENTERS CORP,30011,29099
79785,NVR,N V R INC,21242,12459
79906,INCY,INCYTE CORP,30033,29127
80080,EMN,EASTMAN CHEMICAL CO,30070,29392
80100,SPG,SIMON PROPERTY GROUP INC NEW,30086,29389
80183,MAA,MID AMERICA APT COMMUNITIES INC,30104,29649
80191,ALB,ALBEMARLE CORP,30249,29751
80204,MLM,MARTIN MARIETTA MATERIALS INC,30260,29733
80286,TSCO,TRACTOR SUPPLY CO NEW,12863,29736
80320,CPRT,COPART INC,12926,29901
80381,AVB,AVALONBAY COMMUNITIES INC,30345,29875
80681,ESS,ESSEX PROPERTY TRUST INC,30421,30293
80711,AIV,APARTMENT INVESTMENT & MGMT CO,30438,30490
81045,O,REALTY INCOME CORP,30500,30822
81055,COF,CAPITAL ONE FINANCIAL CORP,30513,30990
81061,MCK,MCKESSON H B O C INC,30521,7171
81481,DLTR,DOLLAR TREE INC,13603,31587
81540,ABC,AMERISOURCEBERGEN CORP,13650,31673
81593,COOP,MR COOPER GROUP INC,5849,13888
81655,DRI,DARDEN RESTAURANTS INC,30886,31846
81677,WAB,WABTEC CORP,30913,60979
81696,DISH,DISH NETWORK CORPORATION,13790,60900
81736,RMD,RESMED INC,13753,31887
81774,FCX,FREEPORT MCMORAN INC,20763,14590
81910,IVZ,INVESCO LTD,30929,29804
82107,WABC,WESTAMERICA BANCORPORATION,2253,14253
82303,RE,EVEREST RE GROUP LTD,30970,61388
82307,DVA,DAVITA INC,30975,61483
82581,HSIC,SCHEIN HENRY INC,14098,61494
82598,NTAP,NETAPP INC,14152,61591
82621,MLSS,MILESTONE SCIENTIFIC INC,14097,61496
82642,EL,LAUDER ESTEE COS INC,31196,61567
82651,WAT,WATERS CORP,31208,61574
82686,CTXS,CITRIX SYSTEMS INC,14201,61676
82775,HIG,HARTFORD FINANCIAL SVCS GRP INC,31386,61739
83111,ALXN,ALEXION PHARMACEUTICALS INC,14394,62263
83143,IRM,IRON MOUNTAIN INC NEW,14330,62374
83382,TCX,TUCOWS INC,14568,62723
83621,ANSS,ANSYS INC,14744,63080
83862,ETFC,E TRADE FINANCIAL CORP,14915,63501
84032,NOV,NATIONAL OILWELL VARCO INC,31769,63892
84129,ZION,ZIONS BANCORPORATION N A,5057,11687
84373,DGX,QUEST DIAGNOSTICS INC,31838,64166
84381,ROK,ROCKWELL AUTOMATION INC,31847,9203
84387,CMT,CORE MOLDING TECHNOLOGIES INC,31894,14794
84761,TTWO,TAKE TWO INTERACTIVE SOFTWR INC,15436,64630
84767,ARE,ALEXANDRIA REAL EST EQUITIES INC,31965,64821
84769,APH,AMPHENOL CORP NEW,31967,14282
84788,AMZN,AMAZON COM INC,15473,64768
85035,QRVO,QORVO INC,15506,64853
85058,BXP,BOSTON PROPERTIES INC,31991,64925
85072,RL,RALPH LAUREN CORP,32009,64891
85257,AME,AMETEK INC NEW,32054,1598
85265,SLG,S L GREEN REALTY CORP,32062,65290
